Bib Number,Athlete Name,Gender,City,State,Country,Division,Status,Finish Time,Swim Time,T1 Time,Bike Time,T2 Time,Run Time,Overall Rank,Gender Rank,Division Rank,AWA Points,Swim Rank (Overall),Swim Rank (Gender),Swim Rank (Division),Bike Rank (Overall),Bike Rank (Gender),Bike Rank (Division),Run Rank (Overall),Run Rank (Gender),Run Rank (Division),Finish (Seconds),Swim (Seconds),T1 (Seconds),Bike (Seconds),T2 (Seconds),Run (Seconds)
"1551","Rafael Astudillo Arcos","Male","LOS ANDES","Valparaíso","CL","M30-34","FIN","4:27:34","0:32:35","0:05:35","2:19:07","0:03:18","1:26:59","42","38","11","3227","168","148","34","55","50","15","42","38","11","16054","1955","335","8347","198","5219"
"217","André Sanches","Male","Moema","BR-SP","BR","M35-39","FIN","4:28:42","0:31:22","0:05:56","2:14:58","0:04:03","1:32:24","43","39","6","3237","112","100","16","30","30","4","43","39","6","16122","1882","356","8098","243","5544"
"845","Agustin Feres","Male","","","CL","M25-29","FIN","4:28:59","0:26:10","0:04:51","2:24:05","0:03:36","1:30:17","44","40","4","3088","14","13","3","44","41","4","44","40","4","16139","1570","291","8645","216","5417"
"1921","Luis Aspillaga","Male","Concon","Valparaíso","CL","M18-24","FIN","4:29:16","0:30:31","0:05:46","2:19:31","0:03:20","1:30:08","45","41","2","3416","82","71","5","50","47","3","45","41","2","16156","1831","346","8371","200","5408"
"1856","Andres Sauma","Male","Santiago","RM","CL","M50-54","FIN","4:29:19","0:29:40","0:06:59","2:15:46","0:04:44","1:32:09","46","42","1","3500","57","52","4","33","33","1","46","42","1","16159","1780","419","8146","284","5529"
"24","Laura Mathews","Female","Memphis","TN","US","FPRO","FIN","4:30:26","0:30:01","0:05:20","2:20:28","0:03:47","1:30:50","47","5","5","3374","67","8","3","51","4","4","47","5","5","16226","1801","320","8428","227","5450"
"1846","Nicolas Salinas","Male","Viña del Mar","Valparaíso","CL","M25-29","FIN","4:30:34","0:28:49","0:05:20","2:23:11","0:03:49","1:29:24","48","43","5","3060","38","34","5","56","51","5","48","43","5","16234","1729","320","8591","229","5364"
"739","Lucas Costas","Male","Caba","Caba","AR","M30-34","FIN","4:31:09","0:31:47","0:06:53","2:19:02","0:03:50","1:29:36","49","44","12","3162","130","116","26","57","52","16","49","44","12","16269","1907","413","8342","230","5376"
"1800","Rodrigo Pineda Schleef","Male","Rancagua","Libertador General Bernardo O'Higgins","CL","M45-49","FIN","4:31:16","0:31:15","0:05:56","2:22:48","0:04:19","1:26:58","50","45","2","3428","107","95","6","70","65","4","50","45","2","16276","1875","356","8568","259","5218"
"667","Jose Hornauer","Male","Viña del Mar","Santiago Metropolitan Region","CL","M30-34","FIN","4:31:29","0:34:24","0:06:33","2:12:53","0:03:54","1:33:45","51","46","13","3156","297","264","60","39","37","10","51","46","13","16289","2064","393","7973","234","5625"
"171","Nicolas Munoz","Male","Las Condes","AA","CL","M40-44","FIN","4:32:03","0:36:12","0:04:42","2:14:07","0:03:59","1:33:02","52","47","7","3148","514","455","80","42","39","6","52","47","7","16323","2172","282","8047","239","5582"
"222","Rodrigo González","Male","Providencia","CL-RM","CL","M30-34","FIN","4:32:14","0:30:35","0:06:07","2:21:53","0:04:48","1:28:52","53","48","14","3143","86","75","19","63","58","18","53","48","14","16334","1835","367","8513","288","5332"
"1937","Andrés Braemer","Male","Santiago","CL-RM","CL","M40-44","FIN","4:32:23","0:30:13","0:06:54","2:18:06","0:05:30","1:31:41","54","49","8","3142","73","62","9","47","44","8","54","49","8","16343","1813","414","8286","330","5501"
"80","Cristian Godoy Vasquez","Male","Valparaíso","CL-VS","CL","M30-34","FIN","4:32:33","0:34:28","0:05:27","2:18:17","0:03:38","1:30:43","55","50","15","3137","304","270","61","61","56","17","55","50","15","16353","2068","327","8297","218","5443"
"894","Fernando Hector Piaggo","Male","San Nicolas","AR-B","AR","M50-54","FIN","4:32:35","0:32:57","0:06:33","2:27:42","0:03:59","1:21:22","56","51","2","3441","187","166","10","149","144","10","56","51","2","16355","1977","393","8862","239","4882"
"1608","Orlando Pinto","Male","Santiago","Santiago Metropolitan Region","CL","M40-44","FIN","4:32:56","0:35:00","0:05:44","2:19:51","0:04:07","1:28:14","57","52","9","3132","359","322","51","73","68","12","57","52","9","16376","2100","344","8391","247","5294"
"1657","Juan Sebastián Orpis","Male","Santiago","Metropolitana de Santiago","CL","M25-29","FIN","4:33:14","0:32:24","0:05:40","2:20:01","0:03:35","1:31:34","58","53","6","3012","161","143","18","60","55","6","58","53","6","16394","1944","340","8401","215","5494"
"870","Hector Yañez Almonacid","Male","Puerto Montt","Los Lagos","CL","M40-44","FIN","4:33:40","0:35:26","0:05:06","2:17:50","0:04:06","1:31:11","59","54","10","3119","413","373","59","62","57","10","59","54","10","16420","2126","306","8270","246","5471"
"1838","Juan Jose Censi","Male","Villa Constitucion","AR-S","AR","M35-39","FIN","4:33:57","0:34:11","0:08:43","2:21:24","0:03:55","1:25:44","60","55","7","3142","276","244","43","110","105","15","60","55","7","16437","2051","523","8484","235","5144"
"1950","Samir Rosolem","Male","Santiago","REGION METROPOLITANA DE SANTIAGO","CL","M40-44","FIN","4:34:16","0:30:17","0:06:35","2:18:17","0:03:54","1:35:13","61","56","11","3108","76","65","11","45","42","7","61","56","11","16456","1817","395","8297","234","5713"
"473","Diego Ruiz","Male","Vitacura","AA","CL","M30-34","FIN","4:34:57","0:33:00","0:06:14","2:23:27","0:03:39","1:28:37","62","57","16","3094","188","167","44","94","89","23","62","57","16","16497","1980","374","8607","219","5317"
"1755","Juan Pablo Rivera Larraín","Male","Puerto varas","LOS LAGOS","CL","M35-39","FIN","4:35:03","0:34:51","0:06:16","2:23:18","0:03:33","1:27:06","63","58","8","3122","341","304","54","112","107","16","63","58","8","16503","2091","376","8598","213","5226"
"1903","Cristóbal Bastías","Male","Las Condes, Región Metropolitan","Santiago Metropolitan Region","CL","M18-24","FIN","4:35:11","0:25:21","0:04:57","2:24:51","0:04:11","1:35:50","64","59","3","3310","8","8","1","46","43","2","64","59","3","16511","1521","297","8691","251","5750"
"1961","Diego Castillo","Male","Panamá","PA-8","PA","M30-34","FIN","4:35:17","0:25:27","0:07:00","2:22:39","0:04:00","1:36:11","65","60","17","3088","9","9","1","43","40","12","65","60","17","16517","1527","420","8559","240","5771"
"1758","Clemente Valenzuela","Male","Las Condes","CL-RM","CL","M30-34","FIN","4:35:46","0:31:57","0:05:32","2:18:17","0:03:56","1:36:05","66","61","18","3079","138","123","28","49","46","13","66","61","18","16546","1917","332","8297","236","5765"
"1844","Benjamin Valdivieso","Male","Puerto Varas","Los Lagos","CL","M30-34","FIN","4:36:10","0:30:33","0:06:29","2:24:49","0:03:56","1:30:23","67","62","19","3072","84","73","18","81","76","20","67","62","19","16570","1833","389","8689","236","5423"
"673","Cristián Ochagavía Moreira","Male","","","CL","M30-34","FIN","4:36:12","0:33:24","0:06:12","2:23:08","0:03:42","1:29:47","68","63","20","3071","214","191","50","95","90","24","68","63","20","16572","2004","372","8588","222","5387"
"611","MARTIN SERRANO DUCLOS","Male","SANTIAGO","Santiago Metropolitan Region","CL","M40-44","FIN","4:36:21","0:30:55","0:07:14","2:22:55","0:04:27","1:30:51","69","64","12","3070","98","87","15","75","70","14","69","64","12","16581","1855","434","8575","267","5451"
"1902","Ignacio Barbieri","Male","Adrogué","","AR","M30-34","FIN","4:36:34","0:33:18","0:06:00","2:23:43","0:03:45","1:29:47","70","65","21","3065","204","183","48","101","96","26","70","65","21","16594","1998","360","8623","225","5387"
"1936","Fabian Oyarzun","Male","Valdivia","Los Ríos","CL","M35-39","FIN","4:36:46","0:32:03","0:06:00","2:27:12","0:04:01","1:27:30","71","66","9","3092","144","129","21","123","118","19","71","66","9","16606","1923","360","8832","241","5250"
"155","Cristian Mora","Male","Santiago","Santiago Metropolitan Region","CL","M40-44","FIN","4:37:21","0:37:27","0:06:23","2:18:33","0:04:11","1:30:46","72","67","13","3052","672","586","107","89","84","18","72","67","13","16641","2247","383","8313","251","5446"
"1974","Cesar Roldan Sanchez","Male","Santiago","CL-RM","CL","M40-44","FIN","4:38:55","0:36:42","0:04:55","2:25:39","0:03:26","1:28:14","73","68","14","3024","571","500","86","150","145","36","73","68","14","16735","2202","295","8739","206","5294"
"494","Anton Hornauer","Male","Chile","CA","CL","M30-34","FIN","4:39:02","0:38:35","0:06:35","2:14:10","0:03:44","1:35:59","74","69","22","3020","798","685","149","67","62","19","74","69","22","16742","2315","395","8050","224","5759"
"1868","Brian Raby","Male","Viña del mar ","AS","CL","M30-34","FIN","4:39:24","0:28:38","0:06:23","2:26:58","0:04:12","1:33:13","75","70","23","3014","36","32","9","83","78","21","75","70","23","16764","1718","383","8818","252","5593"
"1913","Juan Pablo Herrera Villalain","Male","ESTEBAN ECHEVERRIA - CANNING","BUENOS AIRES","AR","M45-49","FIN","4:39:36","0:33:43","0:05:20","2:23:55","0:04:51","1:31:46","76","71","3","3278","240","213","14","99","94","7","76","71","3","16776","2023","320","8635","291","5506"
"450","Sebastian Bosman","Male","la serena","Coquimbo","CL","M40-44","FIN","4:39:59","0:32:22","0:05:45","2:19:55","0:04:31","1:37:26","77","72","15","3005","158","141","26","58","53","9","77","72","15","16799","1942","345","8395","271","5846"
"1811","Franco Boassi","Male","Viña del mar","Biobío","CL","M18-24","FIN","4:40:12","0:33:17","0:04:41","2:23:51","0:02:52","1:35:31","78","73","4","3220","203","182","11","80","75","4","78","73","4","16812","1997","281","8631","172","5731"
"838","Alexis Sauma","Male","santiago","CL-RM","CL","M50-54","FIN","4:40:21","0:29:05","0:05:46","2:28:07","0:04:24","1:33:00","79","74","3","3301","41","37","2","98","93","5","79","74","3","16821","1745","346","8887","264","5580"
"666","Pedro Ochagavía Moreira","Male","","","CL","M25-29","FIN","4:41:30","0:34:39","0:05:39","2:26:21","0:03:08","1:31:42","80","75","7","2863","321","285","47","139","134","12","80","75","7","16890","2079","339","8781","188","5502"
"412","Tomás Ignacio Mesa Muller","Male","Ñuñoa","REGION METROPOLITANA DE SANTIAGO","CL","M25-29","FIN","4:42:02","0:33:25","0:07:42","2:30:20","0:03:43","1:26:52","81","76","8","2853","217","193","28","238","232","21","81","76","8","16922","2005","462","9020","223","5212"
"1583","Eduardo Arias","Male","santiago","AS","CL","M45-49","FIN","4:42:03","0:38:46","0:05:29","2:17:23","0:04:10","1:36:15","82","77","4","3234","821","704","70","78","73","5","82","77","4","16923","2326","329","8243","250","5775"
"187","Jaime Soler","Male","Santiago","CL-RM","CL","M50-54","FIN","4:42:11","0:30:32","0:06:13","2:23:34","0:04:35","1:37:17","83","78","4","3268","83","72","6","71","66","4","83","78","4","16931","1832","373","8614","275","5837"
"863","Alex Suarez","Male","Concepción","CL-BI","CL","M35-39","FIN","4:42:33","0:35:49","0:06:28","2:28:30","0:04:19","1:27:27","84","79","10","2987","455","406","71","219","213","37","84","79","10","16953","2149","388","8910","259","5247"
"1356","Thomas Teichelmann","Male","Concon","Valparaíso","CL","M40-44","FIN","4:42:37","0:37:24","0:06:56","2:21:21","0:05:22","1:31:35","85","80","16","2957","664","579","104","126","121","30","85","80","16","16957","2244","416","8481","322","5495"
"1714","Francisco Aldunate","Male","Santiago","REGION METROPOLITANA DE SANTIAGO","CL","M30-34","FIN","4:42:41","0:32:22","0:06:16","2:30:37","0:03:52","1:29:35","86","81","24","2954","159","142","33","177","172","35","86","81","24","16961","1942","376","9037","232","5375"
"1786","Felipe Cid","Male","Quilicura","REGION METROPOLITANA DE SANTIAGO","CL","M35-39","FIN","4:43:17","0:33:08","0:05:57","2:23:00","0:04:32","1:36:40","87","82","11","2974","194","173","32","85","80","11","87","82","11","16997","1988","357","8580","272","5800"
